customer_name,whatever,float_values
John Jones,unupfmmew,374.54
Emma Johnson,jzaufkyi,950.71
Tom Johnson,pysfhjhjy,731.99
John Rodriguez,mtpsqxrkx,598.66
Mike Jones,ffujpygfj,156.02
Mary Davis,aatuhij,155.99
Jane Miller,dfdevw,58.08
Tom Garcia,bnyugimi,866.18
Mary Martinez,pzajwbgr,601.12
James Garcia,qugcwdygyo,708.07
Emma Johnson,iorcp,20.58
James Jones,zspv,969.91
John Davis,fvrngtxvyj,832.44
David Jones,iafw,212.34
John Smith,mrfirp,181.82
John Brown,gvgtv,183.4
Mike Garcia,wjaip,304.24
Lisa Brown,vhygoop,524.76
Lisa Johnson,rvqnutekgc,431.95
Tom Smith,sohco,291.23
Lisa Jones,mfhqgxhq,611.85
Tom Brown,geuj,139.49
Lisa Smith,ahhedn,292.14
Tom Williams,vvwv,366.36
David Smith,ulhmvl,456.07
Mike Davis,xdppucrsrw,785.18
Sarah Garcia,ecicvbgw,199.67
David Martinez,wvwepscn,514.23
Tom Garcia,iktqksadni,592.41
John Martinez,hcwxc,46.45
Lisa Jones,entnph,607.54
Mary Williams,efqabbbfvz,170.52
Sarah Smith,pskcxhmze,65.05
Mike Brown,pgvo,948.89
Jane Johnson,slydfmpnfh,965.63
Jane Rodriguez,whrcgiyrc,808.4
Jane Brown,ajuybzzk,304.61
Mike Brown,cthjggbnrp,97.67
James Martinez,pktxtv,684.23
Mike Rodriguez,tsbtkz,440.15
James Martinez,fevvim,122.04
Tom Martinez,pxcgm,495.18
Sarah Williams,cmixf,34.39
Lisa Miller,fuegr,909.32
Emma Smith,uazrcitgxj,258.78
John Miller,ngdtusfvjk,662.52
Sarah Davis,ruasdf,311.71
Sarah Martinez,qyiiioi,520.07
Lisa Garcia,vedw,546.71
Tom Martinez,hihf,184.85
Mary Rodriguez,hucswhexy,969.58
Jane Garcia,izocrk,775.13
Tom Rodriguez,kbpp,939.5
John Smith,ykhkd,894.83
Jane Brown,pomzqe,597.9
David Garcia,hwgnkomwda,921.87
Lisa Jones,bjyayah,88.49
Emma Jones,enffl,195.98
David Jones,ricqhcdnn,45.23
Tom Davis,qlkwpoe,325.33
David Jones,stzm,388.68
David Brown,xhwhchnai,271.35
Sarah Jones,xfryzxxxyr,828.74
Jane Williams,txathqotes,356.75
Jane Williams,xrlx,280.93
Lisa Miller,opqs,542.7
Sarah Johnson,dwcnbsnv,140.92
Mary Brown,unxfg,802.2
Mike Miller,unvfycqph,74.55
Mary Johnson,srxsxgn,986.89
Sarah Garcia,sszu,772.24
Sarah Martinez,vhzwp,198.72
John Garcia,zhoch,5.52
David Jones,jfxyqznjav,815.46
Mary Martinez,ccmhrfyaz,706.86
John Smith,bowl,729.01
James Williams,nqnxh,771.27
Emma Smith,kwrjfnlxbz,74.04
James Miller,cusvj,358.47
John Miller,mzgcgystfq,115.87
Mary Smith,fwhhlavkt,863.1
Mike Garcia,zuuyi,623.3
Emma Smith,mdzrmoy,330.9
Mike Martinez,ftefkflnf,63.56
James Smith,srzo,310.98
Mike Smith,cyusbjdh,325.18
Tom Johnson,nxcdgxsi,729.61
Emma Martinez,teco,637.56
Emma Rodriguez,ljzwwikkm,887.21
Jane Miller,hlvvufgel,472.21
David Brown,oddvwimk,119.59
Emma Davis,pteo,713.24
Mike Garcia,kzmxjks,760.79
Sarah Martinez,uiobee,561.28
David Smith,cjagorw,770.97
Mike Garcia,nzctopeary,493.8
David Garcia,timk,522.73
Lisa Garcia,nscmrf,427.54
James Williams,xwslj,25.42
Sarah Johnson,nyvffkqj,107.89
Mike Johnson,hbmjulkiyn,31.43
Lisa Garcia,zbczvqg,636.41
Mike Smith,vzwlmyjvnd,314.36
James Jones,askb,508.57
